#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 07 22 50 350  7.0  8.0   1.2     6   4.9 309 1019.7  11.3  12.7    MM   MM -1.0    MM
2015 05 07 21 50 350  8.0  9.0   1.2     6   4.7 298 1019.9  11.3  12.7    MM   MM -1.3    MM
2015 05 07 20 50 350  7.0  9.0   1.2     7   4.8 299 1020.2  11.3  12.5    MM   MM -1.3    MM
2015 05 07 19 50 350  7.0  8.0   1.2     7   4.9 288 1020.7  11.3  12.3    MM   MM -1.0    MM
2015 05 07 18 50 350  6.0  8.0   1.2     7   4.9 299 1021.2  11.5  12.3    MM   MM -0.3    MM
2015 05 07 17 50 360  6.0  7.0   1.3     7   4.9 295 1021.5  11.3  12.2    MM   MM +0.0    MM
2015 05 07 16 50 360  6.0  6.0   1.2     8   4.9 289 1021.7  11.3  12.1    MM   MM +0.4    MM
2015 05 07 15 50 350  6.0  7.0   1.3     6   4.7 301 1021.5  11.3  12.1    MM   MM +0.5    MM
2015 05 07 14 50 360  5.0  6.0   1.4     8   5.0 294 1021.4  11.4  12.2    MM   MM +0.6    MM
2015 05 07 13 50 360  5.0  6.0   1.4     8   5.2 290 1021.3  11.4  12.1    MM   MM +0.4    MM
2015 05 07 12 50 360  6.0  7.0   1.5     6   5.4 303 1021.0  11.4  12.1    MM   MM +0.0    MM
2015 05 07 11 50 360  6.0  7.0   1.4     7   5.3 281 1020.8  11.4  12.1    MM   MM -0.5    MM
2015 05 07 10 50 340  6.0  7.0   1.5     8   5.4 287 1020.9  11.4  12.2    MM   MM -0.7    MM
2015 05 07 09 50 350  6.0  6.0   1.4     7   5.3 298 1021.0  11.3  12.2    MM   MM -0.6    MM
2015 05 07 08 50 340  6.0  7.0   1.5     8   5.4 287 1021.3  11.3  12.2    MM   MM -0.5    MM
2015 05 07 07 50 340  6.0  8.0   1.6     8   5.4 287 1021.6  11.4  12.3    MM   MM +0.0    MM
2015 05 07 06 50 350  6.0  7.0   1.5     8   5.2 292 1021.6  11.5  12.3    MM   MM +0.5    MM
2015 05 07 05 50 350  7.0  8.0   1.5     8   5.0 294 1021.8  11.5  12.2    MM   MM +1.1    MM
2015 05 07 04 50 360  8.0  9.0   1.7     9   5.2 295 1021.5  11.6  12.3    MM   MM +1.0    MM
2015 05 07 03 50 350  9.0 10.0   1.6     8   4.8 286 1021.1  11.7  12.4    MM   MM +0.7    MM
2015 05 07 02 50 340  9.0 10.0   1.5     9   4.9 297 1020.7  11.7  12.5    MM   MM +0.0    MM
2015 05 07 01 50 340 10.0 11.0   1.6     8   5.1 281 1020.5  11.7  12.4    MM   MM -0.4    MM
2015 05 07 00 50 340  8.0 10.0   1.6     9   5.5 300 1020.4  11.9  12.3    MM   MM -0.6    MM
2015 05 06 23 50 330  7.0  9.0   1.5     9   5.7 288 1020.5  11.7  12.4    MM   MM -0.8    MM
2015 05 06 22 50 330  7.0  8.0   1.6     9   6.2 297 1020.9  11.6  12.4    MM   MM -0.6    MM
2015 05 06 21 50 330  7.0  8.0   1.6     9   6.8 286 1021.0  11.5  12.8    MM   MM -0.5    MM
2015 05 06 20 50 340  4.0  5.0   1.8     9   6.8 284 1021.3  11.1  12.6    MM   MM +0.0    MM
2015 05 06 19 50 360  5.0  6.0   1.7     9   6.8 282 1021.5  10.9  12.4    MM   MM +0.3    MM
2015 05 06 18 50  20  4.0  6.0   1.6     9   6.5 282 1021.5  10.6  12.3    MM   MM +0.4    MM
2015 05 06 17 50  20  5.0  6.0   1.9     9   7.0 280 1021.4  10.5  12.2    MM   MM +0.6    MM
2015 05 06 16 50  20  5.0  7.0   1.7     9   6.6 287 1021.2  10.6  12.2    MM   MM +1.0    MM
2015 05 06 15 50  30  5.0  6.0   1.7    11   6.4 292 1021.1  10.6  12.2    MM   MM +1.6    MM
2015 05 06 14 50  20  6.0  7.0   1.7    10   6.7 289 1020.8  10.6  12.1    MM   MM +1.5    MM
2015 05 06 13 50 360  6.0  7.0   1.7    11   6.8 284 1020.2  10.7  12.1    MM   MM +1.1    MM
2015 05 06 12 50  10  5.0  6.0   1.7    10   7.0 282 1019.5  10.7  12.1    MM   MM +0.5    MM
2015 05 06 11 50 360  4.0  5.0   1.9    11   7.4 282 1019.3  10.9  12.2    MM   MM +0.0    MM
2015 05 06 10 50  10  4.0  5.0   2.0    10   7.2 287 1019.1  11.0  12.2    MM   MM +0.0    MM
2015 05 06 09 50 350  4.0  5.0   2.0    11   7.0 293 1019.0  10.9  12.3    MM   MM -0.3    MM
2015 05 06 08 50 340  5.0  6.0   2.0    11   6.7 289 1019.2  11.2  12.2    MM   MM -0.4    MM
2015 05 06 07 50 340  6.0  7.0   2.1    11   7.1 283 1019.2  11.3  12.3    MM   MM -0.5    MM
2015 05 06 06 50 320  6.0  7.0   2.2     8   7.2 281 1019.3  11.1  12.3    MM   MM +0.0    MM
2015 05 06 05 50 300  3.0  4.0   2.3    11   7.2 290 1019.6  10.9  12.4    MM   MM +0.0    MM
2015 05 06 04 50 280  5.0  6.0   2.4    11   7.3 290 1019.7  10.9  12.4    MM   MM +0.3    MM
2015 05 06 03 50 250  4.0  6.0   2.4    11   7.4 277 1019.4  11.1  12.4    MM   MM +0.0    MM
2015 05 06 02 50 270  4.0  5.0   2.3     8   7.0 276 1019.4  11.7  12.4    MM   MM   MM    MM
2015 05 06 01 50 270  5.0  6.0   2.3    11   7.0 286 1019.4  11.9  12.5    MM   MM -0.3    MM
2015 05 06 00 50 270  5.0  7.0   2.4    11   7.6 277 1019.4  11.9  12.5    MM   MM -0.4    MM
2015 05 05 22 50 270  5.0  6.0   2.6    12   7.6 285 1019.7  11.6  12.5    MM   MM +0.0    MM
2015 05 05 21 50 260  5.0  7.0   2.7    11   7.9 282 1019.8  11.5  12.4    MM   MM +0.3    MM
2015 05 05 20 50 260  5.0  7.0   2.7    11   7.9 280 1019.8  11.5  12.4    MM   MM +0.6    MM
2015 05 05 19 50 270  6.0  8.0   2.9    12   7.9 287 1019.8  11.5  12.3    MM   MM +0.7    MM
2015 05 05 18 50 250  6.0  8.0   3.1    12   7.9 283 1019.5  11.5  12.3    MM   MM +0.9    MM
2015 05 05 17 50 250  6.0  7.0   3.0     9   7.7 284 1019.2  11.4  12.2    MM   MM +1.3    MM
