#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 08 11 50  20  8.0 10.0   1.6     7   4.9 330 1015.1  12.0  12.0    MM   MM -0.8    MM
2015 05 08 10 50  20  8.0  9.0   1.6     7   4.9 328 1015.3  12.0  12.0    MM   MM -0.9    MM
2015 05 08 09 50  20  9.0 10.0   1.6     6   4.9 335 1015.4  11.9  12.0    MM   MM -1.3    MM
2015 05 08 08 50  10  8.0 10.0   1.8     6   5.1 351 1015.9  11.9  12.1    MM   MM -0.9    MM
2015 05 08 07 50  10 10.0 12.0   1.8     7   5.0 343 1016.2  11.9  12.2    MM   MM -0.6    MM
2015 05 08 06 50  10 10.0 11.0   1.9     6   5.1 359 1016.7  12.0  12.2    MM   MM +0.0    MM
2015 05 08 05 50  10 10.0 12.0   1.8     6   4.9 342 1016.8  12.1  12.3    MM   MM +0.0    MM
2015 05 08 04 50  10 11.0 13.0   1.9     7   5.1 330 1016.8  12.2  12.4    MM   MM -0.3    MM
2015 05 08 03 50  10 10.0 13.0   1.8     6   4.9 343 1016.9  12.2  12.3    MM   MM -0.3    MM
2015 05 08 02 50  10 10.0 12.0   1.9     7   5.0 320 1017.0  12.3  12.4    MM   MM -0.5    MM
2015 05 08 01 50  10 11.0 13.0   1.8     7   4.9 328 1017.1  12.5  12.6    MM   MM -0.9    MM
2015 05 08 00 50 360 10.0 12.0   1.7     7   4.8 323 1017.2  12.4  12.6    MM   MM -1.0    MM
2015 05 07 23 50  10 10.0 12.0   1.6     7   4.8 319 1017.5  12.3  12.6    MM   MM -1.0    MM
2015 05 07 22 50  10  9.0 11.0   1.6     6   4.7 336 1018.0  12.1  12.6    MM   MM -1.0    MM
2015 05 07 21 50  10 10.0 11.0   1.5     7   4.7 312 1018.2  12.1  12.5    MM   MM -1.3    MM
2015 05 07 20 50 360 10.0 11.0   1.5     6   4.6 331 1018.5  12.0  12.4    MM   MM -1.5    MM
2015 05 07 19 50 360  9.0 11.0   1.3     6   4.6 333 1019.0  11.9  12.3    MM   MM -1.2    MM
2015 05 07 18 50  10  9.0 11.0   1.4     7   4.7 310 1019.5  12.0  12.3    MM   MM -0.8    MM
2015 05 07 17 50  10  9.0 10.0   1.4     8   4.9 304 1020.0  11.9  12.2    MM   MM -0.3    MM
2015 05 07 16 50  20  8.0  9.0   1.4     6   4.9 317 1020.2  11.8  12.1    MM   MM +0.0    MM
2015 05 07 15 50  10  8.0  9.0   1.4     7   4.9 300 1020.3  11.8  12.1    MM   MM +0.4    MM
2015 05 07 14 50  20  8.0  9.0   1.4     8   4.8 288 1020.3  11.6  12.1    MM   MM +0.3    MM
2015 05 07 13 50  20  8.0 10.0   1.4     7   4.9 307 1020.2  11.6  12.1    MM   MM +0.5    MM
2015 05 07 12 50  20  8.0 10.0   1.6     7   5.1 313 1019.9  11.6  12.0    MM   MM +0.0    MM
2015 05 07 11 50  20  8.0 10.0   1.5     7   5.0 293 1020.0  11.7  12.1    MM   MM -0.3    MM
2015 05 07 10 50  10  9.0 10.0   1.8     8   5.3 306 1019.7  11.7  12.2    MM   MM -0.8    MM
2015 05 07 09 50  10  8.0  9.0   1.9     9   5.4 305 1019.9  11.8  12.3    MM   MM -0.5    MM
